Smartphone X1000,1500.00,Smartphone com tela de 6.5 polegadas 128GB,TechMobile,50
Notebook ProBook 14,2800.00,Notebook com processador i5 8GB RAM SSD de 256GB,InfoTech,30
Fone de Ouvido Wireless,200.00,Fone sem fio com conexão Bluetooth e duração de 10h,SoundMax,200
Geladeira Frost Free 400L,3200.00,Geladeira com tecnologia frost free e espaço otimizado,CoolHome,15
Smart TV 50 polegadas 4K,2500.00,TV com resolução 4K e sistema smart integrado,UltraVision,40
Cadeira Gamer Pro,450.00,Cadeira ergonômica para jogos com ajuste de altura e encosto,ConfortGame,80
Mouse Sem Fio Óptico,80.00,Mouse sem fio com sensor óptico e bateria recarregável,Clicker,120
Relógio Inteligente FitBand,300.00,Relógio com monitor de saúde e resistência à água,TimeSmart,100
Micro-ondas 20L Digital,400.00,Micro-ondas com painel digital e descongelamento rápido,HomeEasy,60
Ventilador de Mesa 40cm,150.00,Ventilador com 3 velocidades e ajuste de inclinação,WindMax,200
